free,log,restart,rmse,converged,in_bounds,C_c,h_amb,K_Q,h_fc,sigma,tau,theta,dead,coast
K_Q+h_amb+theta,real_mak,2,12.279088446545456,True,False,264.05419926816387,1.0000000000208303e-09,1.4896573759013039,1.818669472827002,1.741111712756194e-09,264054199262.66354,268.89619540772605,102.0,138.0
K_Q+h_amb+theta,real_mak,3,8.854493569439876,True,False,262.1863049895023,1.0000000075989975e-09,1.1217860563229638,1.2968260436788899,1.094972897984378e-09,262186302997.1492,219.76335807928385,89.0,143.0
K_Q+h_amb+theta,real_mak,4,9.206198259762152,True,False,308.83578380581804,1.0000000011047939e-09,1.3588462471504419,1.2207953660993385,1.3555782896517239e-09,308835783464.61816,221.21885724282407,91.0,143.0
C_c+h_amb+theta,real_mak,0,2.8166264834536197,True,False,1223.817264536896,1.000000001461812e-09,3.5,1.3,1.4e-09,1223817262747.905,120.4836508304312,66.0,146.0
C_c+h_amb+theta,real_mak,1,3.113697379144446,True,False,1118.9076384904192,1.0000000000146836e-09,3.2986250107944244,1.8363445579582307,1.5052429874387754e-09,1118907638473.9897,128.5536233935417,68.0,146.0
C_c+h_amb+theta,real_mak,2,5.501974179856836,True,False,694.4426033991098,1.0000000000581614e-09,2.3978213035583753,1.981217169322855,1.7361826632363693e-09,694442603358.72,164.3638308691725,77.0,144.0
C_c+h_amb+theta,real_mak,3,4.036049597079074,True,False,847.8849979995193,1.0000000000212768e-09,2.667768944180432,1.847955043017529,1.5429091145425394e-09,847884997981.479,145.8034327547694,71.0,145.0
C_c+h_amb+theta,real_mak,4,2.5468852954902093,True,True,1536.9230546562599,0.07398952719367648,4.2051584286401225,0.8741776393600784,1.0203452207530184e-09,20772.170237460487,109.71428636614986,62.0,147.0
K_Q+C_c+h_amb,real_mak,0,5.311510532512308,True,False,612433856.3519728,1.0000000000000003e-09,1419463.5222840998,1.3,1.4e-09,6.124338563519726e+17,50.0,38.0,269.0
K_Q+C_c+h_amb,real_mak,1,6.618396304517025,True,False,1233357396.2215497,1.0000000000000003e-09,2825119.328741465,0.9800669776003768,1.3720487378295354e-09,1.2333573962215493e+18,34.38752358659767,32.0,213.0
K_Q+C_c+h_amb,real_mak,2,6.9286316471509695,True,False,430784886.25968146,1.0000000000000003e-09,984226.7591871739,2.076610764765576,1.190074504042283e-09,4.3078488625968134e+17,37.6667396043171,30.0,196.0
K_Q+C_c+h_amb,real_mak,3,5.020546160747845,True,False,230716114.48734516,1e-09,536283.5093791775,1.2035348007051256,8.204398565293534e-10,2.3071611448734515e+17,50.48857310422352,40.0,270.0
K_Q+C_c+h_amb,real_mak,4,3.801547537621018,True,False,85727.89976577787,1.0868734009681893e-09,203.5928702088421,1.255547426293908,3.5736209729375627e-09,78875699496750.27,61.693309138775376,48.0,164.0
K_Q+C_c+h_amb+theta,real_mak,0,2.4446372030491657,True,False,25949490.005593378,7445.668543197819,74168.58270611998,1.3,1.4e-09,3485.179316678043,110.90073909962732,62.0,146.0
K_Q+C_c+h_amb+theta,real_mak,1,2.4323011741286593,True,False,45519392.83387306,13035.884266124995,130032.38817785247,1.1906393303946088,1.3484140189539565e-09,3491.853096008194,108.10810372956134,63.0,145.0
K_Q+C_c+h_amb+theta,real_mak,2,2.4553519628928546,True,False,73738329.28961717,21196.382931597887,210861.9675730378,2.615657749307789,1.2794701076323578e-09,3478.816622985892,113.02247030402548,61.0,146.0
K_Q+C_c+h_amb+theta,real_mak,3,2.4626480857295214,True,False,92376785.78087723,26587.066392110217,264249.8502365144,2.9086946488582512,1.505896395919986e-09,3474.500887705696,114.35169685897209,61.0,146.0
K_Q+C_c+h_amb+theta,real_mak,4,2.4224898281996587,True,False,20067774.563528795,5738.893654461671,57303.04053013313,0.6719520116316614,1.185006456352709e-09,3496.801957277465,105.4469439177584,63.0,145.0
K_Q+C_c+h_fc+h_amb,real_mak,0,2.6502323052404573,True,False,19760389.22502394,5751.57150998372,56885.94158235478,0.12679438642921637,1.4e-09,3435.650446269053,50.0,55.0,150.0
K_Q+C_c+h_fc+h_amb,real_mak,1,2.663047158496083,True,False,42475130.97304784,12417.159870371765,122412.52570896757,0.06735058225440824,1.09748916724436e-09,3420.68004410546,48.83879208906952,55.0,151.0
K_Q+C_c+h_fc+h_amb,real_mak,2,2.736813304618777,True,False,40689042.97439104,12218.271872826119,118075.83487251772,0.09945023651692084,1.0573030175538016e-09,3330.1798648698395,42.60110844089813,52.0,153.0
K_Q+C_c+h_fc+h_amb,real_mak,3,2.603259571143422,True,False,45950867.27197349,13179.94024816106,131782.08873523332,0.19830776191174593,1.4972300030359954e-09,3486.424551764172,54.50896256469141,57.0,149.0
K_Q+C_c+h_fc+h_amb,real_mak,4,2.7983285176290327,True,False,72352653.22135316,22267.30185050836,211305.62707024842,0.10785508821717507,1.9021365473771877e-09,3249.2779640341273,37.84841253639719,50.0,156.0
K_Q+C_c+h_fc+h_amb+theta,real_mak,0,2.4232647519315718,False,True,9609.278091056209,2.2514066957661742,27.188652627094353,0.385454667156012,1.4e-09,4268.121840948014,93.67537638182971,65.0,144.0
K_Q+C_c+h_fc+h_amb+theta,real_mak,1,2.420336924159017,False,True,11181.309825260381,2.70129281207081,31.678187285802682,0.43682851143219287,1.396768572112687e-09,4139.243911395445,93.70588175582175,65.0,144.0
K_Q+C_c+h_fc+h_amb+theta,real_mak,2,2.4230410490848473,False,True,13267.220671121739,3.1174490935494625,37.551863637984496,0.6480475386599832,1.9124826739952303e-09,4255.7938471469815,93.62626646916124,65.0,144.0
K_Q+C_c+h_fc+h_amb+theta,real_mak,3,2.418071704227758,False,True,8598.94374871516,2.129633093377664,24.403368102394328,0.5129753621462657,9.360654760697863e-10,4037.7583234664007,93.68515498985923,65.0,144.0
K_Q+C_c+h_fc+h_amb+theta,real_mak,4,2.4249603414799528,False,True,10676.765492488417,2.455447373070062,30.18166665545229,0.38838333180614953,1.683257309159624e-09,4348.195611759004,93.51879445631377,65.0,144.0
C_c+theta,real_mak,0,7.016889078709064,True,True,850.2915701471766,0.5,3.5,1.3,1.4e-09,1700.5831402943531,185.47866528554343,82.0,141.0
C_c+theta,real_mak,1,10.70235918422854,True,True,479.0109806039103,0.4638328764658466,2.5224668934043497,1.3543308897134363,1.2491326203589566e-09,1032.7232175815404,231.50432245562448,90.0,133.0
C_c+theta,real_mak,2,15.143281127088777,True,True,351.93107743085505,0.651722307869479,2.5644925935833407,2.353719569266352,1.1879220378660965e-09,540.0015822403559,284.1799060169997,95.0,118.0
C_c+theta,real_mak,3,3.9671061782717354,True,True,1580.0487076010552,0.47792873870794444,5.226237830189866,0.6357689146829888,1.5698744456042725e-09,3306.034100130984,139.27896139931912,74.0,144.0
C_c+theta,real_mak,4,2.9807272459683283,True,True,1538.101186309091,0.4654475149462978,4.773248706674329,1.6116308287278818,7.606653388317987e-10,3304.5641816060684,130.15283240762145,67.0,145.0
K_Q+C_c,real_mak,0,5.3115122008761135,True,False,1044313634.1844677,0.5,2420449.6674967413,1.3,1.4e-09,2088627268.3689353,50.0,38.0,265.0
K_Q+C_c,real_mak,1,6.051390015396944,True,False,2381586813.028372,0.7107713803234433,5481956.242041549,0.762658835727822,1.3155892449634184e-09,3350707244.212067,40.73597439335667,35.0,230.0
K_Q+C_c,real_mak,2,6.827107587803239,True,False,2085664489.583708,0.8653895363106996,4769143.150903046,1.7233396637260066,1.3135998251891622e-09,2410087483.2335563,37.724807257391,31.0,201.0
K_Q+C_c,real_mak,3,5.775610061830255,True,False,5137852276.513587,0.5407711096592532,11855657.783526335,0.9273469520746211,1.8456178075445245e-09,9500974043.807579,42.45029732924653,36.0,251.0
K_Q+C_c,real_mak,4,2.902612318348634,True,True,7992.701022510034,0.4938347215818194,20.49286163664693,1.4667149505889387,1.836662660919769e-09,16184.971759191681,93.07250073003459,53.0,146.0
K_Q+C_c+theta,real_mak,0,2.5015557102361154,True,True,3568.6913882783283,0.5,9.911847298909127,1.3,1.4e-09,7137.382776556657,109.09479747580338,62.0,147.0
K_Q+C_c+theta,real_mak,1,2.4689464670987453,True,True,3111.896768225162,0.41682457918187116,8.631662591461025,0.637765044744986,1.2676087600998783e-09,7465.722809180507,99.03497307765288,64.0,145.0
K_Q+C_c+theta,real_mak,2,2.5034242898116985,True,True,5754.761497620178,0.9307607384291445,16.037503524007974,0.9750980045259977,1.926488213850359e-09,6182.858021420794,111.42496287042556,61.0,147.0
